,Compound ID,Solubility,SD,Ocurrences,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
21,ibuproxam,-3.044,0.0,1,221.3,2.494,63.32820000000004,16.0,2.0,2.0,3.0,4.0,88.0,1.0,0.0,0.0,1.0,49.33,96.44565445559904,2.741815403505495,343.4551560933999
22,Phoxim,-4.862,0.0,1,298.304,3.2283800000000014,77.21400000000004,19.0,6.0,0.0,7.0,7.0,102.0,1.0,0.0,0.0,1.0,63.84,117.58356026441706,2.8809507542904287,503.4558226694405
23,"2,4,5-tb",-3.8294,0.0,1,283.538,3.8904000000000014,63.836800000000025,16.0,2.0,1.0,6.0,5.0,88.0,1.0,0.0,0.0,1.0,46.53,107.87027133947504,2.537807527581172,393.1407987110952
24,naloxone,-2.9,0.0,1,327.3800000000001,1.3014,87.27060000000004,24.0,5.0,2.0,5.0,2.0,126.0,1.0,2.0,4.0,5.0,70.0,140.08609146449777,1.796948010282009,774.8754473625407
25,lorazepam,-3.6036,0.0,1,321.163,3.101300000000001,83.17950000000002,21.0,3.0,2.0,6.0,1.0,106.0,2.0,0.0,1.0,3.0,61.690000000000005,130.58496549069287,2.26892535252096,759.0888790908208
26,"2,6-lutidine",0.447,0.0,1,107.156,1.69844,33.71099999999999,8.0,1.0,0.0,1.0,0.0,42.0,1.0,0.0,0.0,1.0,12.89,49.380935329236685,3.077660437970554,164.24662946459569
27,dulcin,-2.173,0.0,1,180.207,1.5759,50.81710000000001,13.0,2.0,2.0,4.0,3.0,70.0,1.0,0.0,0.0,1.0,64.35,76.6910496728582,2.635972640607562,282.1711052507959
28,codeine,-1.52,0.4315089802078282,3,299.37000000000006,1.5011,82.46380000000003,22.0,4.0,1.0,4.0,1.0,116.0,1.0,1.0,4.0,5.0,41.93,129.87893872736822,1.8223654238415252,685.154996148535
29,"2,2',3,4,6-PCB",-7.43,0.1302999999999996,2,326.437,6.620600000000001,76.92800000000003,17.0,0.0,0.0,5.0,1.0,88.0,2.0,0.0,0.0,2.0,0.0,124.00482845996936,2.721523075224645,577.348938365776
30,fluorobenzene,-1.7924097659,0.0,1,96.10399999999998,1.8257,26.399999999999995,7.0,0.0,0.0,1.0,0.0,36.0,1.0,0.0,0.0,1.0,0.0,41.5969385224232,3.0214653097240864,134.10736969541455
31,2-hexanone,-0.8,0.02115,2,100.161,1.7656,30.20599999999998,7.0,1.0,0.0,1.0,3.0,42.0,0.0,0.0,0.0,0.0,17.07,44.72548369985636,2.8219389370591843,57.20035947603792
32,butyl acetate,-1.2199585633,0.1482062664120942,6,116.15999999999998,1.3496,31.540999999999983,8.0,2.0,0.0,2.0,3.0,48.0,0.0,0.0,0.0,0.0,26.3,49.83902892936324,2.822354554248032,68.92878689342031
33,anabasine,0.7898,0.0,1,162.236,1.8962,48.83170000000003,12.0,2.0,1.0,2.0,1.0,64.0,1.0,1.0,1.0,2.0,24.92,73.01979270250531,2.082510086938828,226.8537121839843
34,cyromazine,-1.179,0.0344999999999999,2,166.188,-0.3897000000000006,45.2965,12.0,6.0,3.0,6.0,2.0,64.0,1.0,1.0,1.0,2.0,102.74,69.40898582963057,2.1770477836157407,273.83982642577905
35,abate,-6.2375,0.4762500000000003,2,466.47900000000016,5.630000000000004,114.869,27.0,9.0,0.0,11.0,10.0,148.0,2.0,0.0,0.0,2.0,55.38000000000001,173.5125033919799,2.00995144064202,743.5541844393116
36,oxetan-2-one,0.7104893861,0.0,1,72.063,-0.0666999999999999,15.576,5.0,2.0,0.0,2.0,0.0,28.0,0.0,1.0,1.0,1.0,26.3,29.738371432644183,2.322405049590992,51.91340299823497
37,hexanoic acid,-1.0522193787,0.0,1,116.15999999999998,1.6513,31.77779999999998,8.0,1.0,1.0,2.0,4.0,48.0,0.0,0.0,0.0,0.0,37.3,49.51971745205236,2.822354554248032,68.92878689342031
38,trovafloxacin,-4.5296,0.0,1,416.3590000000001,1.8945,101.34170000000005,30.0,6.0,2.0,10.0,3.0,154.0,3.0,2.0,2.0,5.0,101.45,166.71102821338405,1.7617670554909075,1280.507328661338
39,transfluthrin,-6.81,0.0,1,371.157,4.877400000000002,76.62,23.0,2.0,0.0,8.0,4.0,126.0,1.0,1.0,1.0,2.0,26.3,139.56418935837192,2.1123615226066352,658.2947166196597
40,benfuracarb,-4.7103,0.0,1,410.5360000000002,4.057500000000004,109.32300000000006,28.0,7.0,0.0,8.0,8.0,156.0,1.0,0.0,1.0,2.0,68.31,171.11197384315744,1.9697921241251517,707.8365033465442
41,imidacloprid,-2.6223,0.0,1,255.665,0.6879,62.089100000000016,17.0,5.0,1.0,8.0,3.0,90.0,1.0,0.0,1.0,2.0,83.66,102.23638471378864,2.011084008323884,447.2043646861617
42,naepaine,-3.27,0.0,1,250.3419999999999,2.2054,73.53160000000004,18.0,4.0,2.0,4.0,8.0,100.0,1.0,0.0,0.0,1.0,64.35000000000001,108.51576024484125,2.117836776279736,349.31655354638923
43,n-decylamine,-2.4564,0.0,1,157.301,3.0858000000000008,51.66440000000003,11.0,1.0,1.0,1.0,8.0,68.0,0.0,0.0,0.0,0.0,26.02,71.36362075441176,2.6909155266923976,53.89311688209828
44,"1,4-xylene",-2.8191677601,0.0321733662692313,5,106.168,2.30344,35.916,8.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,0.0,1.0,0.0,50.16128734829017,3.0324555320336755,138.89811391899892
45,pentyl formate,-1.6020599913,0.0,1,116.15999999999998,1.3496,31.540999999999983,8.0,2.0,0.0,2.0,5.0,48.0,0.0,0.0,0.0,0.0,26.3,49.83902892936323,2.616293090417985,52.49022499567306
46,nadide,0.1782048937999999,0.0,1,663.4300000000001,-3.647899999999995,137.15830000000005,44.0,18.0,7.0,23.0,11.0,240.0,3.0,2.0,2.0,5.0,321.09000000000003,245.9542116303212,1.1576280907235283,1628.6201084376485
47,pentan-2-ol,-0.2541408245,0.02087958775,2,88.14999999999999,1.1673,26.58879999999999,6.0,1.0,1.0,1.0,2.0,38.0,0.0,0.0,0.0,0.0,20.23,38.99325323761199,2.6272148478988635,25.11941547876375
48,triazolam,-4.08,0.0,1,343.21700000000004,4.233520000000003,91.90100000000002,23.0,4.0,0.0,6.0,1.0,114.0,3.0,0.0,1.0,4.0,43.07,142.96332309881646,2.027496173750821,943.5164678122118
49,flutrimazole,-8.4,0.0,1,346.3800000000001,5.001500000000003,96.74900000000002,26.0,2.0,0.0,4.0,4.0,128.0,4.0,0.0,0.0,4.0,17.82,149.93747854649425,2.142548146355507,996.0236896698776
50,4-propylphenol,-2.0276,0.0,1,136.19399999999996,2.3447000000000005,42.10180000000002,10.0,1.0,1.0,1.0,2.0,54.0,1.0,0.0,0.0,1.0,20.23,61.3204632148828,2.693803452362809,188.3881691811921
51,benomyl,-4.86,0.0115499999999997,2,290.32300000000004,2.5724,79.46540000000003,21.0,5.0,2.0,7.0,4.0,112.0,2.0,0.0,0.0,2.0,85.25000000000001,121.8427561373751,2.3502170049464204,650.7065804079459
52,8-quinazolinol,-2.0361,0.0,1,146.14899999999997,1.3353999999999997,41.20280000000002,11.0,3.0,1.0,3.0,0.0,54.0,2.0,0.0,0.0,2.0,46.010000000000005,63.34659736532121,2.9131611636048604,381.2537713475522
53,methyldopa,-1.3247,0.0,1,211.217,0.4423000000000001,53.703800000000015,15.0,4.0,4.0,5.0,3.0,82.0,1.0,0.0,0.0,1.0,103.78,86.77528563072794,2.905062365401662,387.0088201517134
54,pyraclofos,-4.0388,0.0,1,360.803,5.192300000000004,91.18350000000004,22.0,6.0,0.0,8.0,8.0,120.0,2.0,0.0,0.0,2.0,53.35,138.7854331052319,2.1246822139760635,647.7924362052639
55,cumene,-3.2924,0.0478880173608248,3,120.19499999999996,2.8100000000000014,40.53100000000002,9.0,0.0,0.0,0.0,1.0,48.0,1.0,0.0,0.0,1.0,0.0,56.52622946268678,2.848234050597751,162.65300142116237
56,disperse red 1,-6.292999999999999,0.0,1,314.345,3.828800000000003,88.68720000000005,23.0,6.0,1.0,7.0,7.0,120.0,2.0,0.0,0.0,2.0,91.32999999999998,133.60208677253573,2.06058221147532,668.7296328965323
57,pyrene,-6.1787966156,0.0588200189844963,3,202.256,4.584000000000002,70.14600000000003,16.0,0.0,0.0,0.0,0.0,74.0,4.0,0.0,0.0,4.0,0.0,93.45542159483816,2.505955689360672,666.6198058168793
58,picrotoxin,-2.1672,0.0,1,602.5890000000002,-0.9291999999999958,135.14739999999995,43.0,13.0,3.0,13.0,2.0,232.0,0.0,10.0,10.0,10.0,190.95,245.2905499651882,1.210973990580018e-07,1500.406312219199
59,tolbutamide,-3.17,0.1122499999999999,2,270.354,1.78302,69.80720000000004,18.0,3.0,2.0,6.0,5.0,100.0,1.0,0.0,0.0,1.0,75.27000000000001,107.64307816555156,2.6444911926355648,494.5587374421375
60,triethylamine,-0.1376829835,0.3354934183004696,7,101.193,1.3481,33.46199999999998,7.0,1.0,0.0,1.0,3.0,44.0,0.0,0.0,0.0,0.0,3.24,46.32379527001597,2.9923028831940863,25.651484454403228
61,Alachlor,-3.17,0.0856824110045669,3,269.77199999999993,2.9871000000000016,75.28000000000004,18.0,2.0,0.0,4.0,6.0,100.0,1.0,0.0,0.0,1.0,29.54,113.68910726130552,3.2766131919478854,384.5305068733243
62,2-iodopropane,-2.0843,0.0583500000000001,2,169.993,1.8298,29.155999999999988,4.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,40.7309733776664,2.3237900077244498,8.0
63,danazol,-5.51,0.0,1,337.4630000000001,4.221000000000004,96.35280000000006,25.0,3.0,1.0,3.0,0.0,132.0,1.0,3.0,4.0,5.0,46.260000000000005,149.4111683415793,1.5319846700877742,801.194381990157
64,Ethylene,-0.4,0.9653617485,2,28.053999999999995,0.8022,11.254,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,14.414590110041903,2.0,0.0
65,amisometradine,-0.9895,0.0,1,195.222,-0.2947000000000004,55.16940000000001,14.0,5.0,1.0,5.0,2.0,76.0,1.0,0.0,0.0,1.0,70.02,81.08868449147967,3.4447593927753366,481.81092593541393
66,"2,2',5,6'-PCB",-6.8,0.0060500000000001,2,291.992,5.967200000000002,71.918,16.0,0.0,0.0,4.0,1.0,82.0,2.0,0.0,0.0,2.0,0.0,113.70156223308769,2.7162794101137435,514.2871240740591
67,rosolic acid,-2.3837,0.0,1,290.31800000000004,3.594800000000002,85.52260000000003,22.0,3.0,2.0,3.0,2.0,108.0,2.0,0.0,1.0,3.0,57.53,127.71844148069108,2.183559110463215,726.0788697398173
68,pent-2-ene,-2.5449048057,0.4312300999792298,5,70.135,1.9725,25.10499999999999,5.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,33.50941645323172,2.622415807990217,27.019550008653876
69,aminothiourea,-0.8457609068,0.0569716761499999,2,91.139,-1.3067000000000002,24.10850000000001,5.0,2.0,3.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,64.07,35.29781087290288,2.847378923087672,42.1577218810798
70,ethychlozate,-3.0256,0.0,1,238.674,2.3219000000000003,61.44070000000002,16.0,3.0,1.0,5.0,3.0,84.0,2.0,0.0,0.0,2.0,54.98,97.54843163561644,2.3036607238603297,521.678961590002
71,simvastatin,-5.48,0.0,1,418.5740000000002,4.585600000000005,115.45480000000006,30.0,5.0,1.0,5.0,6.0,168.0,0.0,1.0,3.0,3.0,72.83,180.4455306596892,1.7612771112578929,706.3275441224729
72,6-chloropurine,-1.4901,0.0,1,154.56,1.0062999999999998,36.69370000000001,10.0,3.0,1.0,5.0,0.0,50.0,2.0,0.0,0.0,2.0,54.46,61.284438241967685,2.950090305322589,355.1754374062279
73,tropic acid,-0.9305,0.0055,2,166.176,0.8471000000000002,43.90460000000002,12.0,2.0,2.0,3.0,3.0,64.0,1.0,0.0,0.0,1.0,57.53,70.27621906712257,2.877595790918249,255.7359747745539
74,5-fluorouracil,-1.0689,0.0144499999999999,2,130.078,-0.7977000000000001,27.641399999999997,9.0,2.0,2.0,5.0,0.0,48.0,1.0,0.0,0.0,1.0,65.72,48.35927868440375,3.523897718994017,312.83394095677266
75,oxabetrinil,-4.0649,0.0,1,232.239,1.3037800000000002,60.23600000000003,17.0,5.0,0.0,5.0,4.0,88.0,1.0,1.0,1.0,2.0,63.84,99.19780100767488,1.9190709671103665,419.1269235594376
76,pregnenolone,-4.652,0.0,1,316.48500000000007,4.515300000000004,91.88080000000004,23.0,2.0,1.0,2.0,1.0,128.0,0.0,3.0,4.0,4.0,37.3,140.28092152170035,1.6619631243467547,550.0448238342481
77,allyl acetate,-0.5534,0.0,1,100.117,0.7355,26.829999999999988,7.0,2.0,0.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,26.3,42.78448378278237,2.9670528832697767,76.14933958998697
78,ketamine,-0.1369999999999999,0.0,1,274.19100000000003,0.0143000000000006,66.77670000000003,17.0,2.0,1.0,4.0,2.0,94.0,1.0,1.0,1.0,2.0,29.1,114.63270889932244,1.444999709866727e-06,413.7326469484602
79,2-methylhexane,-4.5961,0.0,1,100.20499999999998,2.832600000000001,34.362999999999985,7.0,0.0,0.0,0.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,46.92890371420919,2.678257743164726,29.01955000865387
80,butoxybenzene,-3.6132495633,0.0,1,150.22099999999998,2.8655000000000017,46.845000000000034,11.0,1.0,0.0,1.0,4.0,60.0,1.0,0.0,0.0,1.0,9.23,68.00471680659028,2.2758012873675093,181.32408233692004
81,ethyl valerate,-1.7706,0.2309999326599228,3,130.18699999999998,1.7397,36.158,9.0,2.0,0.0,2.0,4.0,54.0,0.0,0.0,0.0,0.0,26.3,56.20397104375984,3.0613168393721577,78.98533616859814
82,1-octyne,-3.662,0.0,1,110.2,2.5900000000000007,37.592,8.0,0.0,0.0,0.0,4.0,46.0,0.0,0.0,0.0,0.0,0.0,52.29307122046507,2.646949873687806,66.59772060569361
83,formaldehyde,1.1206,0.0,1,30.026,-0.1849,7.121,2.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,17.07,12.900773127873316,2.0,2.0
84,8-methylpurine,-0.41,0.0135499999999999,2,134.14199999999997,0.6613199999999998,36.4207,10.0,3.0,1.0,4.0,0.0,50.0,2.0,0.0,0.0,2.0,54.46,57.34611412948262,2.876510166944625,318.2753028763377
85,naphthalene,-4.3112256046,0.7189518625146027,5,128.17399999999995,2.839800000000001,43.94800000000003,10.0,0.0,0.0,0.0,0.0,48.0,2.0,0.0,0.0,2.0,0.0,60.11306765123217,2.888051601657992,271.01518240905483
86,triadimefon,-3.6137,0.0,1,293.754,3.1243000000000016,75.60100000000003,20.0,5.0,0.0,6.0,4.0,106.0,2.0,0.0,0.0,2.0,57.010000000000005,122.08336500628032,2.281223550397853,573.4665262416382
87,propionitrile,0.2718,0.0,1,55.07999999999999,0.91998,15.904000000000002,4.0,1.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,23.79,25.86171493809148,2.4330963097956344,33.03830640231605
88,2-heptanol,-1.5507,0.0,1,116.20399999999998,1.9475,35.822799999999994,8.0,1.0,1.0,1.0,4.0,50.0,0.0,0.0,0.0,0.0,20.23,51.7231374664052,2.7158427612932585,41.65148445440323
89,benzoximate,-4.0837,0.0,1,363.797,3.591300000000002,93.12400000000004,25.0,5.0,0.0,7.0,5.0,132.0,2.0,0.0,0.0,2.0,65.07000000000001,150.35896829711186,2.342111865414857,763.5617836423708
90,2-decanone,-3.3085,0.0,1,156.269,3.3260000000000023,48.67400000000003,11.0,1.0,0.0,1.0,7.0,66.0,0.0,0.0,0.0,0.0,17.07,70.1852521574428,2.8497612822334424,97.04589952780503
91,allethrin,-4.8179,0.0,1,302.41400000000004,4.002000000000003,87.21000000000005,22.0,3.0,0.0,3.0,5.0,120.0,0.0,1.0,2.0,2.0,43.370000000000005,132.6643271129517,2.067252683908675,573.4877160391027
92,mecarbam,-2.5177,0.0,1,329.3800000000001,2.632000000000001,79.78700000000005,19.0,7.0,0.0,9.0,8.0,112.0,0.0,0.0,0.0,0.0,65.07000000000001,122.61219610978006,4.397208956208479,342.8117132097756
93,galaxolide,-5.1693,0.0538640750940969,5,258.405,4.525200000000004,79.72900000000006,19.0,1.0,0.0,1.0,0.0,104.0,1.0,0.0,2.0,3.0,9.23,116.91259141470466,2.2452818094358897,524.7369751653058
94,thionazin,-2.338,0.0,1,248.244,2.1529,60.19700000000002,15.0,6.0,0.0,7.0,6.0,84.0,1.0,0.0,0.0,1.0,53.47,94.05103133071,2.706849273086979,325.91848358463807
95,hexestrol,-4.353,0.0384999999999999,2,270.372,4.785200000000005,82.27760000000004,20.0,2.0,2.0,2.0,5.0,106.0,2.0,0.0,0.0,2.0,40.46,120.2666175163327,2.3163196571785463,476.8496098708157
96,RTI 12,-4.114,0.0,1,288.73800000000006,2.878000000000001,78.89750000000004,20.0,4.0,0.0,6.0,1.0,102.0,2.0,0.0,1.0,3.0,49.330000000000005,121.3661862588434,2.32340388869338,688.6241630195814
97,isoflurophate,-1.0777,0.0,1,184.147,2.914000000000001,41.15650000000001,11.0,3.0,0.0,5.0,4.0,68.0,0.0,0.0,0.0,0.0,35.53,66.54186865886246,3.907836095239563,143.90638535044312
98,aldol,1.055,0.0,1,88.106,-0.0438,22.361799999999995,6.0,2.0,1.0,2.0,2.0,36.0,0.0,0.0,0.0,0.0,37.3,36.78983322325915,2.8141442217770303,40.81274391313339
99,2-Ethylbutanal,-1.52,0.0,1,100.161,1.6215,30.13599999999998,7.0,1.0,0.0,1.0,3.0,42.0,0.0,0.0,0.0,0.0,17.07,44.72548369985635,3.164609308839238,46.14170945007629
100,Metoxuron,-2.564,0.0212383824452073,3,228.679,2.4421,60.70970000000002,15.0,2.0,1.0,5.0,2.0,82.0,1.0,0.0,0.0,1.0,41.57,93.77920098732712,2.798213756358398,366.4400629123248
101,meperidine,-1.6368,0.0,1,283.799,-0.670399999999997,72.59600000000005,19.0,3.0,0.0,4.0,3.0,106.0,1.0,1.0,1.0,2.0,29.54,122.3828436173362,1.8049995100376383e-06,405.5943572604684
102,dichlorprop,-2.8271,0.18855,2,235.066,2.845300000000001,54.18780000000002,14.0,2.0,1.0,5.0,3.0,76.0,1.0,0.0,0.0,1.0,46.53,91.2020629981968,2.817664884623791,351.9103452953617
103,amikacin,-0.5004,0.0,1,585.6080000000002,-8.424200000000015,131.42570000000003,40.0,17.0,13.0,18.0,10.0,234.0,0.0,3.0,3.0,3.0,331.93999999999994,229.2645399768689,1.847903728536342,815.0542713752033
104,dibromane,-0.3762292432999999,0.0,1,79.904,-2.996,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,17.881179872351204,0.0,0.0
105,cafenstrole,-5.1467,0.0,1,350.4440000000001,2.3460600000000005,89.84180000000005,24.0,6.0,0.0,8.0,4.0,130.0,2.0,0.0,0.0,2.0,85.16,141.78166983067496,2.479849022999368,844.1928380699638
106,Aldadiene,-4.1007061575,0.0,1,340.46300000000014,4.370100000000003,94.67300000000006,25.0,3.0,0.0,3.0,0.0,134.0,0.0,3.0,5.0,5.0,43.370000000000005,149.43126302773803,1.534690869394722,718.783976814856
107,griseofulvin,-4.611000000000001,0.0,1,354.7860000000001,2.6851000000000003,86.44750000000006,24.0,6.0,0.0,7.0,3.0,130.0,1.0,1.0,2.0,3.0,71.06,144.5145954157979,2.19554879426611,715.5225852429162
108,Coumachlor,-5.839,0.0,1,342.7780000000001,4.263000000000003,92.74180000000004,24.0,4.0,1.0,5.0,4.0,122.0,3.0,0.0,0.0,3.0,67.50999999999999,142.85529131805689,2.242176860891908,957.2578858098648
109,strychnine,-3.32,0.4407821331325588,3,334.419,2.0925,93.40900000000003,25.0,3.0,0.0,4.0,0.0,128.0,1.0,4.0,6.0,7.0,32.78,146.97567955204383,1.5524232297011886,848.052733715765
110,manganese,-4.894774805,0.0,1,54.938,-0.0025,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,17.964098032124472,0.0,0.0
111,fufural,-0.0962,0.0,1,96.08499999999998,1.0921,24.095499999999998,7.0,2.0,0.0,2.0,1.0,36.0,1.0,0.0,0.0,1.0,30.21,40.75219659801417,2.962094525806721,141.1235805057187
112,procaine,-1.72,0.3163883323939112,4,236.315,1.7674,68.92490000000004,17.0,4.0,1.0,4.0,6.0,94.0,1.0,0.0,0.0,1.0,55.56,102.36078961703996,2.3694575785961214,344.94202439465573
113,dimethylamine,1.558,1.106016037,2,45.085,-0.1644000000000001,14.983700000000002,3.0,1.0,1.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,12.03,20.6540553258342,1.6329931618554523,2.754887502163468
114,"2,4-Octadione",-1.56,0.0,1,142.19799999999998,1.7248,39.830000000000005,10.0,2.0,0.0,2.0,5.0,58.0,0.0,0.0,0.0,0.0,34.14,61.61689002869332,3.346959626471701,127.21928094887362
115,zileuton,-3.37,0.0,1,236.296,2.732200000000001,63.44890000000002,16.0,3.0,2.0,5.0,2.0,84.0,2.0,0.0,0.0,2.0,66.56,96.85777598376735,2.362960926704292,490.4338490921654
116,isoxathion,-5.2172,0.0,1,313.315,4.017900000000003,80.10400000000003,20.0,6.0,0.0,7.0,7.0,108.0,2.0,0.0,0.0,2.0,53.72,122.63416312567372,2.145092887186004,577.0669089216854
117,Ethisterone,-5.66,0.0299999999999998,2,312.4530000000001,3.8826000000000023,90.49280000000005,23.0,2.0,1.0,2.0,0.0,124.0,0.0,3.0,4.0,4.0,37.3,139.2801469135596,1.7024099249747302,626.2430525943431
118,triazamate,-2.861,0.0,1,314.41100000000006,1.7605,80.56000000000004,21.0,7.0,0.0,8.0,4.0,118.0,1.0,0.0,0.0,1.0,77.32,128.59218094093006,3.017992304961193,519.9763158000324
119,zinc dibromide,1.2977429939,0.0,1,225.198,-5.9945,0.0,3.0,0.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,53.27721002736354,-0.0,2.754887502163468
120,sulfasalazine,-6.14,0.0,1,398.4000000000001,3.7016000000000018,100.72960000000002,28.0,7.0,3.0,10.0,6.0,142.0,3.0,0.0,0.0,3.0,141.31,159.6375871519161,1.7658464964858716,1130.3973704840953
121,nifuroxime,-2.1934,0.0,1,156.09699999999998,0.9959,34.74290000000001,11.0,5.0,1.0,6.0,2.0,58.0,1.0,0.0,0.0,1.0,88.87,60.88724495800432,2.8998954899749183,290.4274538790235
